filename,pred_prob,yuri_norm_line,yuri_norm_actpsy,weighted,aid,vid
1990_134304,0.0435624937264249,0.0304709141274238,0.0012771392081736,0.0354064843948994,1990,134304
1990_142308,0.0097747181380762,0.0429362880886426,0.0,0.0187457173094385,1990,142308
1990_147036,0.0613437067178217,0.0221606648199445,0.0,0.0434544234766763,1990,147036
1990_150239,0.0589154434359226,0.0263157894736842,0.0,0.0432440029036588,1990,150239
2099_75597,0.992958234274648,0.5457063711911357,0.247765006385696,0.7842633525606991,2099,75597
2131_77090,0.9963062535468384,0.1578947368421052,0.1021711366538952,0.655369286846124,2131,77090
2131_82072,0.9993482968011528,0.2299168975069252,0.1532567049808429,0.6839097178308535,2131,82072
2138_77304,0.0029633752984427,0.0650969529085872,0.0,0.0213071110516417,2138,77304
2138_81005,0.0004086872183735,0.0581717451523545,0.0,0.0176967358767304,2138,81005
2138_86516,0.0097796917309223,0.0650969529085872,0.003831417624521,0.0257800426735816,2138,86516
2138_90034,0.0202279668467017,0.095567867036011,0.003831417624521,0.0411902819812764,2138,90034
2152_77900,0.1527051442470846,0.020775623268698,0.0025542784163473,0.0981112013704949,2152,77900
2152_79067,0.147706136065774,0.0138504155124653,0.0,0.092778806293204,2152,79067
2152_80684,0.15954134027125,0.0678670360110803,0.0,0.116084914966074,2152,80684
2152_82625,0.1607875407817098,0.0360110803324099,0.0,0.1072758485687488,2152,82625
2152_86579,0.0868714681711015,0.0193905817174515,0.0,0.0579400554178963,2152,86579
2152_89132,0.1963760041318424,0.0277008310249307,0.0,0.1261358517865846,2152,89132
2152_92927,0.2908427216700783,0.0290858725761772,0.0,0.1832313947749001,2152,92927
2152_97205,0.2073619676894026,0.0637119113573407,0.0012771392081736,0.1436584679416611,2152,97205
2152_106047,0.1104796394802281,0.0138504155124653,0.003831417624521,0.0708260501043285,2152,106047
2152_109918,0.0547464061056595,0.0540166204986149,0.0,0.0490528298129801,2152,109918
2152_112766,0.7030754003507693,0.0,0.0,0.4218452402104616,2152,112766
2152_112870,0.2062891948570595,0.0540166204986149,0.0102171136653895,0.1410002144303591,2152,112870
2152_113497,0.606636413437625,0.2146814404432133,0.020434227330779,0.4304297029286169,2152,113497
2152_114477,0.3602736864431051,0.0304709141274238,0.0,0.2253054861040901,2152,114477
2152_115107,0.2166440372636404,0.056786703601108,0.0,0.1470224334385166,2152,115107
2152_117475,0.2953439708529754,0.0540166204986149,0.0063856960408684,0.1940499382654565,2152,117475
2152_119565,0.2911488704167783,0.0623268698060941,0.0,0.1933873831918952,2152,119565
2152_128293,0.2470738816918022,0.0512465373961218,0.0,0.1636182902339178,2152,128293
2152_131798,0.1465250582699115,0.0498614958448753,0.0,0.1028734837154095,2152,131798
2152_137195,0.1892415452659901,0.0318559556786703,0.0025542784163473,0.1233571417048298,2152,137195
2152_139562,0.4169550537935547,0.0789473684210526,0.0,0.2738572428024486,2152,139562
2152_141783,0.952636803,0.1952908587257617,0.0,0.6301693394177285,2152,141783
2152_145859,0.2000953417212774,0.0650969529085872,0.0,0.1395862909053426,2152,145859
2152_159173,0.2486833150612554,0.1620498614958448,0.0,0.1978249474855066,2152,159173
2235_81534,0.9932409030176628,0.1800554016620498,0.10727969348659,0.6606891316578716,2235,81534
2235_90022,0.9982597521760788,0.1952908587257617,0.0804597701149425,0.66558908593487,2235,90022
2255_82490,0.0202299254381876,0.092797783933518,0.0255427841634738,0.0425315688593153,2255,82490
2255_87549,0.0088332992169498,0.0789473684210526,0.0,0.0289841900564856,2255,87549
2255_91205,0.023492160899677,0.0415512465373961,0.0,0.026560670501025,2255,91205
2255_94086,0.0141409849592612,0.1357340720221606,0.0395913154533844,0.0531639441275433,2255,94086
2255_97803,0.0391725848106052,0.1606648199445983,0.0166028097062579,0.0733632778403683,2255,97803
2255_98786,0.0094211780081586,0.0817174515235457,0.0127713920817369,0.0314450814701325,2255,98786
