text_id,total_lines,yuri_lines,yuri_concentration
2410_97497,1437,60,0.042
2410_110426,1540,53,0.034
2418_89871,1385,144,0.104
2431_90434,1179,182,0.154
2438_90975,632,78,0.123
2438_91540,625,50,0.08
2441_91100,1584,75,0.047
2441_91746,1920,140,0.073
2441_94749,1655,83,0.05
2441_98122,1713,37,0.022
2441_103769,1674,34,0.02
2441_106148,1690,101,0.06
2441_111561,1800,86,0.048
2441_113367,1651,34,0.021
2441_116433,1858,22,0.012
2441_119910,1769,57,0.032
2441_125778,1989,125,0.063
2441_130740,1731,46,0.027
2441_140313,1653,33,0.02
2441_147727,2309,81,0.035
2441_150529,2005,32,0.016
2451_91489,2158,280,0.13
2451_94926,2906,251,0.086
2451_116164,3212,262,0.082
2451_127924,101,23,0.228
2451_137549,3108,182,0.059
2451_164214,801,84,0.105
2464_92235,1250,164,0.131
2468_92542,1606,139,0.087
2468_98528,1847,218,0.118
2468_114697,1641,203,0.124
2468_114701,1789,265,0.148
2468_115960,1866,259,0.139
2468_122234,1869,267,0.143
2468_129551,1864,239,0.128
2468_144039,1506,470,0.312
2468_160019,1874,159,0.085
2471_92679,1597,41,0.026
2471_95234,1548,65,0.042
2471_101712,1471,95,0.065
2471_101717,1445,60,0.042
2471_107289,1188,16,0.013
2471_111398,1187,55,0.046
2480_92985,815,89,0.109
2480_94848,1594,104,0.065
2480_99015,1222,31,0.025
2480_101626,1098,30,0.027
2480_103680,1132,29,0.026
2480_107832,1243,111,0.089
2480_112484,1497,90,0.06
2480_118171,1168,17,0.015
2480_118201,1468,82,0.056
2480_121049,1548,107,0.069
2480_126644,1292,12,0.009
2480_128696,1657,12,0.007
2480_130152,1298,21,0.016
2480_135650,1574,12,0.008
2480_141087,1417,22,0.016
2480_150421,1551,45,0.029
2480_165620,1530,28,0.018
2482_93118,910,222,0.244
2482_97409,1059,170,0.161
2482_106168,1551,438,0.282
2492_93410,1482,120,0.081
2496_93457,820,48,0.059
2537_95891,1222,45,0.037
2537_96842,1356,48,0.035
2537_98074,1284,61,0.048
2537_101028,1238,58,0.047
2537_102384,1132,80,0.071
2537_103870,1329,61,0.046
2537_108380,1305,28,0.021
2537_110844,1457,7,0.005
2537_113003,1572,60,0.038
2537_115466,1098,14,0.013
2537_117392,1467,1,0.001
2537_119239,983,24,0.024
2537_120402,1614,5,0.003
2537_127655,1392,24,0.017
2537_129737,1301,14,0.011
2537_133737,1250,0,0.0
2537_139683,1267,26,0.021
2537_149682,1117,44,0.039
2537_157350,1383,30,0.022
2537_165372,1156,36,0.031
2537_167254,1172,48,0.041
2541_96151,323,30,0.093
2541_105416,349,34,0.097
2541_113502,395,41,0.104
2541_113625,436,31,0.071
2543_96323,1903,47,0.025
2562_97163,2072,31,0.015
2635_101053,2836,417,0.147
2635_104245,4762,740,0.155
2635_137533,3359,524,0.156
2635_139773,3686,324,0.088
2635_145272,3733,471,0.126
2651_102068,1589,190,0.12
2651_103266,1406,112,0.08
2651_118252,1186,87,0.073
2651_128686,1414,120,0.085
2651_129358,1402,118,0.084
2651_131330,909,56,0.062
2651_134566,45,7,0.156
2651_145445,1058,65,0.061
2659_102498,1762,21,0.012
2661_102547,1622,379,0.234
2680_103564,585,107,0.183
2685_103754,993,158,0.159
2685_112425,1406,118,0.084
2685_151310,1086,111,0.102
2689_104058,1,0,0.0
2734_106844,1213,171,0.141
2734_119201,1238,112,0.09
2734_138209,1300,89,0.068
2751_107817,1811,719,0.397
2751_118989,2502,773,0.309
2751_122070,2096,555,0.265
2751_125697,2417,678,0.281
2751_136813,1325,356,0.269
2751_141461,2915,831,0.285
2751_148354,2173,414,0.191
2751_159480,2057,407,0.198
2751_166872,1561,352,0.225
2756_108273,1517,237,0.156
2756_112633,1550,113,0.073
2756_118972,1509,312,0.207
2756_127015,1635,249,0.152
2756_134755,694,229,0.33
2756_135147,1785,190,0.106
2756_143520,1733,195,0.113
2756_145929,1901,196,0.103
2756_159532,1657,239,0.144
2756_165934,1664,226,0.136
2756_167146,230,12,0.052
2768_109073,1810,281,0.155
2768_116454,1533,112,0.073
2773_109485,1188,159,0.134
2788_110290,1034,633,0.612
2792_110406,1802,166,0.092
2792_115084,2470,263,0.106
2792_118848,2810,270,0.096
2792_124189,3065,282,0.092
2792_126100,2480,268,0.108
2792_127183,2289,250,0.109
2792_135838,2742,385,0.14
2792_137995,1891,240,0.127
2792_139843,2345,132,0.056
2792_142600,2337,254,0.109
2792_144990,1979,218,0.11
2792_148556,2214,113,0.051
2812_111584,876,183,0.209
2818_111814,1459,94,0.064
2818_125018,1556,132,0.085
2818_127341,1602,185,0.115
2818_130995,1582,76,0.048
2828_112677,1455,247,0.17
2828_114310,72,15,0.208
2845_114050,1230,127,0.103
2845_114071,1249,130,0.104
2855_114552,880,72,0.082
2895_116710,1542,223,0.145
2895_116842,1377,149,0.108
2895_117002,1350,260,0.193
2895_118770,1346,236,0.175
2895_122477,1418,204,0.144
2895_134661,1352,190,0.141
2895_150951,1217,172,0.141
2895_153172,1475,244,0.165
2895_155026,1302,208,0.16
2895_159563,1634,197,0.121
2895_164223,1591,190,0.119
2896_116723,1464,685,0.468
2896_116915,1778,798,0.449
2896_117063,1467,767,0.523
2896_117226,1376,659,0.479
2896_127444,1779,455,0.256
2896_149574,1684,771,0.458
2896_154846,1760,690,0.392
2905_117172,1725,619,0.359
2920_117810,1443,307,0.213
2945_118999,1361,101,0.074
2963_119968,1160,50,0.043
2971_120661,1592,121,0.076
2971_127783,2002,112,0.056
2971_136029,2112,102,0.048
2971_140645,2104,151,0.072
2971_146468,1110,52,0.047
2971_155763,1270,38,0.03
2997_122164,1594,129,0.081
2997_125114,1948,116,0.06
2997_125301,456,93,0.204
3017_123358,1691,138,0.082
3017_123436,1883,100,0.053
3056_125389,1359,216,0.159
3056_130465,1424,307,0.216
3078_126726,2045,182,0.089
3078_126855,1882,133,0.071
3089_127556,2159,169,0.078
3097_128077,1407,333,0.237
3097_128114,1355,236,0.174
3101_128204,1545,93,0.06
3101_138803,2059,47,0.023
3101_140562,1658,113,0.068
3101_142267,1897,113,0.06
3101_143932,1697,110,0.065
3101_145494,2115,159,0.075
3101_147434,1864,66,0.035
3128_129602,1416,325,0.23
3128_130682,1299,306,0.236
3128_142015,887,230,0.259
3137_130256,1236,175,0.142
3137_134707,1417,169,0.119
3137_138391,1441,154,0.107
3137_143296,1694,224,0.132
3137_146794,1298,237,0.183
3137_148607,1115,98,0.088
3137_154919,1157,151,0.131
3210_132833,1811,597,0.33
3210_137424,1943,588,0.303
3210_142152,1658,498,0.3
3210_161286,1510,301,0.199
3210_166202,178,35,0.197
3232_133919,998,170,0.17
3249_134644,1348,86,0.064
3250_134718,454,110,0.242
3251_134735,934,64,0.069
3269_135382,324,65,0.201
3275_135628,758,66,0.087
3280_135793,683,84,0.123
3294_136178,1490,130,0.087
3295_136188,1491,163,0.109
3295_136200,856,72,0.084
3316_136794,1390,164,0.118
3332_137255,618,66,0.107
3332_138097,506,49,0.097
3332_141320,776,75,0.097
3332_159293,147,5,0.034
3332_163098,56,0,0.0
3375_138681,1388,208,0.15
3386_139167,1617,129,0.08
3406_140173,2276,276,0.121
3412_140718,2289,43,0.019
3413_140732,1569,198,0.126
3432_141806,1543,110,0.071
3432_144006,1420,84,0.059
3432_152034,1883,90,0.048
3505_145386,785,161,0.205
3507_145453,2064,174,0.084
3519_145969,1411,384,0.272
3519_146347,1620,443,0.273
3519_148314,209,45,0.215
3519_148571,1446,564,0.39
3519_153113,1517,494,0.326
3519_157441,1702,480,0.282
3519_160917,1658,559,0.337
3519_166567,1660,593,0.357
3525_146329,1811,284,0.157
3542_147412,1280,184,0.144
3542_149292,29,18,0.621
3542_157192,1084,140,0.129
3542_159751,1234,157,0.127
3547_147740,2038,48,0.024
3547_149476,1729,301,0.174
3558_148375,2428,205,0.084
3558_151754,2428,187,0.077
3558_157333,2489,188,0.076
3558_163586,367,5,0.014
3558_165280,1406,124,0.088
3560_148430,1616,313,0.194
3585_149565,1454,514,0.354
3585_152730,1596,440,0.276
3585_156682,473,153,0.323
3585_156877,1720,615,0.358
3585_162175,1544,781,0.506
3590_149859,1875,299,0.159
3590_152213,1018,127,0.125
3611_150752,1423,309,0.217
3611_155043,1643,579,0.352
3611_163958,1816,562,0.309
3625_151723,944,225,0.238
3625_161235,102,18,0.176
3639_152497,1434,165,0.115
3653_152923,2371,341,0.144
3653_153450,2290,457,0.2
3653_157261,1867,293,0.157
3665_153545,1132,212,0.187
3667_153600,2072,410,0.198
3693_154379,1187,194,0.163
3703_154789,1324,66,0.05
3716_155275,248,64,0.258
3716_155281,261,123,0.471
3723_155603,2177,499,0.229
3735_156030,1574,132,0.084
3735_157496,1730,331,0.191
3735_160396,14,0,0.0
3735_163651,1548,223,0.144
3754_156707,1524,204,0.134
3755_156737,1035,258,0.249
3759_157035,1010,282,0.279
3759_157046,90,23,0.256
3763_157110,1739,536,0.308
3763_161237,1603,524,0.327
3763_163631,23,13,0.565
3763_164862,1587,613,0.386
3780_157613,3500,355,0.101
3784_157680,484,173,0.357
3785_157738,1668,251,0.15
3800_158285,1527,234,0.153
3802_158308,1647,142,0.086
3810_158494,1598,136,0.085
3810_158675,1302,44,0.034
3816_158814,1881,852,0.453
3817_158891,1621,202,0.125
3833_159575,1441,386,0.268
3854_160445,827,160,0.193
3862_160792,1832,207,0.113
3863_160807,2013,292,0.145
3866_160899,1631,408,0.25
3866_166204,723,167,0.231
3872_161210,2114,609,0.288
3872_161224,1373,614,0.447
3885_161743,1431,100,0.07
3885_162177,1423,117,0.082
3885_164577,1519,148,0.097
3885_164584,1609,119,0.074
3894_162181,1616,60,0.037
3917_163022,1311,947,0.722
3961_164203,1614,260,0.161
3961_164825,782,108,0.138
3962_164246,177,11,0.062
3963_164265,981,396,0.404
3964_164338,2067,261,0.126
3964_164352,2874,330,0.115
3986_165240,1841,472,0.256
3998_165601,1687,542,0.321
4014_166308,2623,176,0.067
4026_166703,2006,323,0.161
4040_167040,900,231,0.257
4043_167174,599,126,0.21
