text_id,total_lines,yuri_lines,yuri_concentration
2480_103680,1483,0,0.0
2480_107832,1282,14,0.011
2480_112484,1139,0,0.0
2480_118171,1276,0,0.0
2480_118201,1012,0,0.0
2480_121049,1061,0,0.0
2480_126644,1017,0,0.0
2480_128696,1247,0,0.0
2480_130152,1263,0,0.0
2480_135650,1112,0,0.0
2480_141087,1167,0,0.0
2480_150421,1158,0,0.0
2480_165620,1224,0,0.0
2482_93118,1750,412,0.235
2482_97409,1506,300,0.199
2482_106168,1469,230,0.157
2492_93410,2439,37,0.015
2496_93457,1426,14,0.01
2537_95891,2102,17,0.008
2537_96842,2444,14,0.006
2537_98074,2403,59,0.025
2537_101028,2478,42,0.017
2537_102384,2395,11,0.005
2537_103870,3052,3,0.001
2537_108380,2837,42,0.015
2537_110844,3373,0,0.0
2537_113003,3163,29,0.009
2537_115466,3342,7,0.002
2537_117392,3232,0,0.0
2537_119239,2784,0,0.0
2537_120402,4462,0,0.0
2537_127655,3143,5,0.002
2537_129737,3253,0,0.0
2537_133737,3017,0,0.0
2537_139683,3010,0,0.0
2537_149682,2893,7,0.002
2537_157350,3459,19,0.005
2537_165372,3059,24,0.008
2537_167254,3126,11,0.004
2541_96151,1965,0,0.0
2541_105416,1620,0,0.0
2541_113502,1811,7,0.004
2541_113625,1656,0,0.0
2543_96323,1220,34,0.028
2562_97163,3284,11,0.003
2635_101053,1861,85,0.046
2635_104245,3008,304,0.101
2635_137533,2376,260,0.109
2635_139773,2071,75,0.036
2635_145272,2399,240,0.1
2651_102068,2525,85,0.034
2651_103266,2324,76,0.033
2651_118252,2010,72,0.036
2651_128686,1967,36,0.018
2651_129358,2573,125,0.049
2651_131330,2066,47,0.023
2651_134566,100,0,0.0
2651_145445,1429,3,0.002
2659_102498,1225,1,0.001
2661_102547,1251,241,0.193
2680_103564,1232,181,0.147
2685_103754,1437,102,0.071
2685_112425,1585,62,0.039
2685_151310,1496,110,0.074
2689_104058,618,162,0.262
2734_106844,1671,68,0.041
2734_119201,1547,55,0.036
2734_138209,1602,3,0.002
2751_107817,1400,554,0.396
2751_118989,1831,362,0.198
2751_122070,1920,408,0.212
2751_125697,2193,516,0.235
2751_136813,961,184,0.191
2751_141461,2368,493,0.208
2751_148354,1471,203,0.138
2751_159480,1616,281,0.174
2751_166872,1094,162,0.148
2756_108273,2247,152,0.068
2756_112633,2002,66,0.033
2756_118972,1918,282,0.147
2756_127015,1669,196,0.117
2756_134755,531,77,0.145
2756_135147,1540,135,0.088
2756_143520,1668,77,0.046
2756_145929,1331,184,0.138
2756_159532,1251,100,0.08
2756_165934,1330,200,0.15
2756_167146,247,0,0.0
2768_109073,2981,155,0.052
2768_116454,2480,99,0.04
2773_109485,5177,795,0.154
2788_110290,1302,754,0.579
2792_110406,1663,71,0.043
2792_115084,1744,88,0.05
2792_118848,1849,71,0.038
2792_124189,2081,63,0.03
2792_126100,2257,134,0.059
2792_127183,1883,74,0.039
2792_135838,2273,142,0.062
2792_137995,1692,130,0.077
2792_139843,2096,21,0.01
2792_142600,1787,39,0.022
2792_144990,1362,109,0.08
2792_148556,1597,43,0.027
2812_111584,2305,558,0.242
2818_111814,1339,44,0.033
2818_125018,1147,0,0.0
2818_127341,1154,7,0.006
2818_130995,943,0,0.0
2828_112677,1500,211,0.141
2828_114310,59,2,0.034
2845_114050,1710,44,0.026
2845_114071,1910,74,0.039
2855_114552,1397,7,0.005
2895_116710,2115,167,0.079
2895_116842,1903,90,0.047
2895_117002,1615,136,0.084
2895_118770,1868,181,0.097
2895_122477,1899,128,0.067
2895_134661,1857,119,0.064
2895_150951,1950,219,0.112
2895_153172,2138,140,0.065
2895_155026,2187,176,0.08
2895_159563,2038,167,0.082
2895_164223,2013,104,0.052
2896_116723,1379,787,0.571
2896_116915,1541,771,0.5
2896_117063,1460,687,0.471
2896_117226,1128,537,0.476
2896_127444,1535,647,0.421
2896_149574,1470,582,0.396
2896_154846,1513,644,0.426
2905_117172,1308,396,0.303
2920_117810,2053,311,0.151
2945_118999,1074,3,0.003
2963_119968,1066,7,0.007
2971_120661,1560,19,0.012
2971_127783,1240,20,0.016
2971_136029,1410,14,0.01
2971_140645,1233,21,0.017
2971_146468,836,12,0.014
2971_155763,868,3,0.003
2997_122164,1376,26,0.019
2997_125114,1317,19,0.014
2997_125301,317,35,0.11
3017_123358,1967,29,0.015
3017_123436,1896,28,0.015
3056_125389,803,83,0.103
3056_130465,732,172,0.235
3078_126726,2303,41,0.018
3078_126855,2643,48,0.018
3089_127556,1382,67,0.048
3097_128077,2332,429,0.184
3097_128114,1824,317,0.174
3101_128204,1798,19,0.011
3101_138803,1475,2,0.001
3101_140562,1365,0,0.0
3101_142267,1459,7,0.005
3101_143932,1380,0,0.0
3101_145494,1409,7,0.005
3101_147434,1115,10,0.009
3128_129602,2735,680,0.249
3128_130682,2198,603,0.274
3128_142015,1917,415,0.216
3137_130256,997,14,0.014
3137_134707,889,45,0.051
3137_138391,883,15,0.017
3137_143296,881,49,0.056
3137_146794,922,65,0.07
3137_148607,878,18,0.021
3137_154919,717,8,0.011
3210_132833,1534,399,0.26
3210_137424,1149,306,0.266
3210_142152,1209,372,0.308
3210_161286,1611,276,0.171
3210_166202,147,24,0.163
3232_133919,1473,105,0.071
3249_134644,2745,89,0.032
3250_134718,743,34,0.046
3251_134735,2784,23,0.008
3269_135382,371,24,0.065
3275_135628,711,14,0.02
3280_135793,1319,15,0.011
3294_136178,2168,13,0.006
3295_136188,1868,34,0.018
3295_136200,971,0,0.0
3316_136794,1912,71,0.037
3332_137255,930,22,0.024
3332_138097,644,46,0.071
3332_141320,634,21,0.033
3332_159293,175,0,0.0
3332_163098,165,0,0.0
3375_138681,663,43,0.065
3386_139167,1542,110,0.071
3406_140173,2528,10,0.004
3412_140718,3375,41,0.012
3413_140732,1981,149,0.075
3432_141806,1674,7,0.004
3432_144006,1505,21,0.014
3432_152034,1689,10,0.006
3505_145386,1350,239,0.177
3507_145453,1642,39,0.024
3519_145969,2268,802,0.354
3519_146347,2616,1316,0.503
3519_148314,392,103,0.263
3519_148571,1707,754,0.442
3519_153113,2281,956,0.419
3519_157441,2504,957,0.382
3519_160917,2230,1002,0.449
3519_166567,1878,1013,0.539
3525_146329,1071,21,0.02
3542_147412,1753,109,0.062
3542_149292,15,0,0.0
3542_157192,1481,91,0.061
3542_159751,1588,59,0.037
3547_147740,1206,27,0.022
3547_149476,1372,135,0.098
3558_148375,2694,140,0.052
3558_151754,2614,64,0.024
3558_157333,2745,159,0.058
3558_163586,337,7,0.021
3558_165280,1466,84,0.057
3560_148430,1975,133,0.067
3585_149565,2626,994,0.379
3585_152730,2434,1090,0.448
3585_156682,617,212,0.344
3585_156877,2212,702,0.317
3585_162175,1882,966,0.513
3590_149859,1568,51,0.033
3590_152213,881,68,0.077
3611_150752,1038,198,0.191
3611_155043,856,323,0.377
3611_163958,1026,307,0.299
3625_151723,2471,694,0.281
3625_161235,560,0,0.0
3639_152497,2580,91,0.035
3653_152923,1563,49,0.031
3653_153450,1434,160,0.112
3653_157261,1529,81,0.053
3665_153545,1588,225,0.142
3667_153600,2186,392,0.179
3693_154379,2155,68,0.032
3703_154789,1396,7,0.005
3716_155275,209,53,0.254
3716_155281,184,83,0.451
3723_155603,2474,599,0.242
3735_156030,1697,62,0.037
3735_157496,1407,97,0.069
3735_160396,17,0,0.0
3735_163651,1370,52,0.038
3754_156707,1149,161,0.14
3755_156737,1413,164,0.116
3759_157035,1224,292,0.239
3759_157046,1321,426,0.322
3763_157110,2109,904,0.429
3763_161237,2125,818,0.385
3763_163631,45,28,0.622
3763_164862,1877,746,0.397
3780_157613,2750,276,0.1
3784_157680,649,102,0.157
3785_157738,786,74,0.094
3800_158285,2300,198,0.086
3802_158308,1569,0,0.0
3810_158494,1491,53,0.036
3810_158675,1368,12,0.009
3816_158814,2846,1387,0.487
3817_158891,2242,78,0.035
3833_159575,1601,337,0.21
3854_160445,2809,290,0.103
3862_160792,2522,178,0.071
3863_160807,1099,30,0.027
3866_160899,1650,436,0.264
3866_166204,791,173,0.219
3872_161210,2953,870,0.295
3872_161224,2216,1276,0.576
3885_161743,1589,10,0.006
3885_162177,1265,10,0.008
3885_164577,1249,41,0.033
3885_164584,1033,4,0.004
3894_162181,2229,16,0.007
3917_163022,1538,1204,0.783
3961_164203,2217,191,0.086
3961_164825,667,72,0.108
3962_164246,2179,7,0.003
3963_164265,1925,691,0.359
3964_164338,1424,120,0.084
3964_164352,2014,157,0.078
3986_165240,1314,278,0.212
3998_165601,2448,951,0.388
4014_166308,1272,16,0.013
4026_166703,3127,190,0.061
4040_167040,1597,515,0.322
4043_167174,1731,324,0.187
